Modelo,Familia,RMSE,MAE,MAPE_%,SMAPE_%
SARIMA,106,26055.73,16457.26,669.27,125.27
SARIMA,124,32385.35,24994.17,34.2,43.93
SARIMA,233,23465.22,18024.64,55.0,69.19
Prophet,106,24671.74,19945.14,1206.45,134.39
Prophet,124,35810.77,27039.83,37.18,49.84
Prophet,233,30132.77,23091.93,65.7,97.58
XGBoost,106,42578.97,26850.02,932.24,113.02
XGBoost,124,54640.28,44372.41,43.72,58.09
XGBoost,233,32509.53,25771.21,66.18,56.53
LightGBM,106,41398.8,26212.17,712.44,120.59
LightGBM,124,47457.25,39516.76,39.86,50.03
LightGBM,233,47175.19,36023.71,97.99,77.16
